mpan,record_id,notification_creation_date,fault_description,msn
1012356075879,1012356075879 - E19ML21688,07/11/2023,COMMS FAULT: GSM Comms is out of service. Current Comms Mode is Outbound using Telephone 07924106062. Last Stored Data 02/11/2023. SSIL NHH Contact: Keiley Davis,E19ML21688
1012356231581,1012356231581 - K18A000924,29/08/2023,COMMS FAULT - Re raise. Unable to connect to meter. Please keep D1 open until fault resolved. Current Comms Mode is TCP/IP using IP address / Socket Port 192.168.8.9:48156. Last Stored Data: 01-APR-70. CLI-KAM-TIN 01293 776747 ext 309,K18A000924
1012356520923,1012356520923 - E13Z049001,24/07/2024,COMMS FAULT: GSM Comms is switched off. Comms Mode Outbound using Telephone 07416540619. Last Stored Data 20/07/2024. SSIL NHH Contact: Nicole Barnes,E13Z049001
1012356568999,1012356568999 - E07BG34350,04/06/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07827273020. Last Stored Data 04/02/2024. SSIL NHH Contact: Nicole Barnes,E07BG34350
1012359060129,1012359060129 - E12Z076309,18/12/2023,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07921786986. Last Stored Data: 12-DEC-23. ITOPIC 01293 776747 ext,E12Z076309
1012360601120,1012360601120 - E12Z154421,08/10/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07955259407. Last stored data 26/04/2024. SSIL NHH Contact: Jane Lewis,E12Z154421
1012361619564,1012361619564 - E15Z012578,08/04/2024,COMMS FAULT: GSM Comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07902700873. Last Stored Data 01/04/2024. SSIL NHH Contact: Samuel Dickinson,E15Z012578
1012361741929,1012361741929 - E12Z056729,19/04/2024,COMMS FAULT: GSM Comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07720049291. Last Stored Data 15/04/2024. SSIL NHH Contact: Nicole Barnes,E12Z056729
1012362010796,1012362010796 - E12Z075206,13/02/2024,COMMS FAULT: GSM Comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07720010968. Last Stored Data 09/02/2024. SSIL NHH Contact: Matthew Taylor,E12Z075206
1012362288173,1012362288173 - E12Z074481,18/12/2023,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07808378552. Last Stored Data: 12-DEC-23. ITOPIC 01293 776747 ext,E12Z074481
1012362503452,1012362503452 - E12Z056724,07/10/2024,COMMS FAULT - re raise. Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07742776795. Last Stored Data: 24-JUN-24. SSIL NHH Contact: Cecilia Li Kam Tin,E12Z056724
1012362951498,1012362951498 - E12Z074479,18/12/2023,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07808378549. Last Stored Data: 12-DEC-23. ITOPIC 01293 776747 ext,E12Z074479
1012362972888,1012362972888 - E12Z074483,25/04/2024,COMMS FAULT: GSM Comms drops connection. Current Comms Mode is Outbound using Telephone 07808379409. Last Stored Data 21/04/2024. SSIL NHH Contact: Matthew Taylor,E12Z074483
1012364231211,1012364231211 - E12Z055849,18/12/2023,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07808377521. Last Stored Data: 12-DEC-23. ITOPIC 01293 776747 ext,E12Z055849
1012364395434,1012364395434 - 210022058,26/08/2023,COMMS FAULT - Re raise. GSM Comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07738956352. Last Stored Data: 01-JUN-23. CLI-KAM-TIN 01293 776747 ext 309,210022058
1012365521515,1012365521515 - E11Z87818,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808319291. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z87818
1012365546351,1012365546351 - E18BG11300,06/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is GPRS using Telephone 07924271112 and SMS 44792483464112. Last Stored Data: 11-FEB-24. SSIL NHH Contact: Keiley Davis,E18BG11300
1012365546583,1012365546583 - E19BG12551,06/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is GPRS using Telephone 07624065964 and SMS 44792444353459. Last Stored Data: 11-FEB-24. SSIL NHH Contact: Keiley Davis,E19BG12551
1012365546811,1012365546811 - E18BG11751,09/07/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is GPRS using Telephone 07924271113 and SMS 44792483464113. Last Stored Data: 06-NOV-23. SSIL NHH Contact: Cecilia Li Kam Tin,E18BG11751
1012365612136,1012365612136 - E12Z088600,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07720081447. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E12Z088600
1012365617427,1012365617427 - E18BG11752,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07924324377. Last Stored Data: 11-FEB-24. SSIL NHH Contact: Ivan Topic,E18BG11752
1012365617659,1012365617659 - E18BG11296,04/06/2024,COMMS FAULT: re raise. Unable to connect to meter and collect data. Please investigate. Current Comms Mode is GPRS using Telephone 07924324375 and SMS 44792483497375. Last Stored Data: 10-MAY-24. SSIL NHH Contact: Cecilia Li Kam Tin,E18BG11296
1012365618341,1012365618341 - E19BG15689,06/06/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode GPRS using Telephone 07924324376 and SMS 44792483497376. Last Stored Data 24/01/2024. SSIL NHH Contact: Cecilia Li Kam Tin,E19BG15689
1012365663195,1012365663195 - E14TE02615,03/10/2024,"ACT-234036 Dial Failure We are unable to retrieve data from meter 214668429 using comms 192.168.8.13:47498. When connecting to the IP we get no response, please investigate and advise.",E14TE02615
1012368049901,1012368049901 - E19BG05081,12/07/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode GPRS using Telephone 07924142845 and SMS 44792483871845. Last Stored Data 26/06/2024. SSIL NHH Contact: Matthew Taylor,E19BG05081
1012368050590,1012368050590 - E19BG15727,04/09/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode GPRS using Telephone 07924142832 and SMS 44792483871832. Last stored data 24/01/2024. SSIL NHH Contact: Jane Lewis,E19BG15727
1012368165360,1012368165360 - E11Z89225,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808325205. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z89225
1012368165592,1012368165592 - E11Z62872,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808351159. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z62872
1012368165820,1012368165820 - E11Z62873,07/09/2023,COMMS FAULT: GSM Comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07808351158. Last Stored Data 03/09/2023. SSIL NHH Contact: Ben Brant,E11Z62873
1012368166053,1012368166053 - E11Z62899,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808351300. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z62899
1012368166285,1012368166285 - E11Z64101,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808351420. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z64101
1012368166513,1012368166513 - E11Z64153,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808352735. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z64153
1012368166745,1012368166745 - E11Z83495,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808327451. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z83495
1012372981791,1012372981791 - K15A000009,28/11/2023,CLOCK FAULT: Meter clock is out of tolerance. Please reset in GMT and test load. Current Comms Mode is TCP/IP using IP address / Socket Port 192.168.8.9:48460. Last Stored Data 17/11/2023. SSIL NHH Contact: Samuel Dickinson,K15A000009
1012380409646,1012380409646 - K10UP07166,01/02/2024,COMMS FAULT: Re raised. GSM comms goes to recorded message. Please check MTDs are UTD Current Comms Mode is Outbound using Telephone 07535832819. Last Stored Data: 23-JAN-23. JCASEBOW 01293 776747 ext 363,K10UP07166
1012380488531,1012380488531 - E11Z38476,06/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07409189751. Last Stored Data: 01-APR-70. SSIL NHH Contact: Keiley Davis,E11Z38476
1012381252598,1012381252598 - E12UP00008,26/07/2024,COMMS FAULT: GSM Comms is out of service. Comms Mode Outbound using Telephone 07535881560. Last Stored Data 22/07/2024. SSIL NHH Contact: Nicole Barnes,E12UP00008
1012388044261,1012388044261 - E12Z040706,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07803645706. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E12Z040706
1012394346953,1012394346953 - E19BG15053,17/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is GPRS using Telephone 07924319658 and SMS 44792483492658. Last Stored Data: 11-JUN-24. SSIL NHH Contact: Ivan Topic,E19BG15053
1012395403344,1012395403344 - E12Z051529,03/09/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07803647710. Last stored data 30/08/2024. SSIL NHH Contact: Jane Lewis,E12Z051529
1012397399744,1012397399744 - E07BG38837,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07771337446. Last Stored Data: 21-FEB-20. SSIL NHH Contact: Ivan Topic,E07BG38837
1012400542692,1012400542692 - 209165792,07/01/2022,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07595580464. Last Stored Data: 01-APR-70. KNAYEE 01293 776747 ext 389,209165792
1012401837595,1012401837595 - 215139681,31/08/2024,COMMS FAULT: GSM Comms is switched off. Comms Mode Outbound using Telephone 07416365345. Last stored data 28/01/2024. SSIL NHH Contact: Joe Casebow,215139681
1012404223383,1012404223383 - 218796388,28/05/2024,"MTD FAULT: Meter ID mismatch, comms connects to different meter than stated in D0313 Comms Mode UDP using IP address / Socket Port 192.168.8.13:47978. Last Stored Data 27/01/2024. SSIL NHH Contact: Samuel Dickinson",218796388
1012405296569,1012405296569 - E14Z036245,25/03/2022,COMMS FAULT: GSM Comms is out of service. Current Comms Mode is Outbound using Telephone 07730371859. Last Stored Data 21/03/2022. SSIL NHH Contact: Krupesh Nayee,E14Z036245
1012408105099,1012408105099 - E11Z67924,22/08/2024,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07703936877. Last Stored Data: 01-APR-70. SSIL NHH Contact: Cecilia Li Kam Tin,E11Z67924
1012408914466,1012408914466 - 2364183097,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07979729361. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,2364183097
1012410564718,1012410564718 - E12Z038773,24/07/2024,COMMS FAULT: GSM Comms is out of service. Comms Mode Outbound using Telephone 07712064811. Last Stored Data 20/07/2024. SSIL NHH Contact: Nicole Barnes,E12Z038773
1012412313865,1012412313865 - E16TE00309,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 00345901003336275. Last Stored Data: 26-SEP-22. SSIL NHH Contact: Ivan Topic,E16TE00309
1012412360786,1012412360786 - E13Z006913,11/05/2024,COMMS FAULT: GSM Comms is out of service. Comms Mode Outbound using Telephone 07416523455. Last Stored Data 07/05/2024. SSIL NHH Contact: Joe Casebow,E13Z006913
1012416524241,1012416524241 - E11TH02223,22/10/2024,"Meter not dialling and retrieving reads IP comms not working. Please send GSM comm,IP comms not working. Please send GSM comms",E11TH02223
1012417305780,1012417305780 - E14Z010826,03/04/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07712376826. Last Stored Data: 01-APR-70. NCHAN 01293 776747 ext,E14Z010826
1012417306472,1012417306472 - E11Z23189,03/04/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07715004739. Last Stored Data: 01-APR-70. NCHAN 01293 776747 ext,E11Z23189
1012417306932,1012417306932 - E12Z024543,03/04/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07712038155. Last Stored Data: 01-APR-70. NCHAN 01293 776747 ext,E12Z024543
1012417309464,1012417309464 - E10TB02703,03/04/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07834213041. Last Stored Data: 01-APR-70. NCHAN 01293 776747 ext,E10TB02703
1012417474140,1012417474140 - E11Z66244,30/04/2024,COMMS FAULT: GSM comms rings out. Current Comms Mode is Outbound using Telephone 07703940706. Last Stored Data: 01-APR-70. ITOPIC 01293 776747 ext,E11Z66244
1012418001990,1012418001990 - E13Z027411,03/10/2024,COMMS FAULT: GSM Comms is out of service. Comms Mode Outbound using Telephone 07885938903. Last stored data 26/02/2023. SSIL NHH Contact: Samuel Dickinson,E13Z027411
1012421966969,1012421966969 - E11Z65160,16/12/2021,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07703939350. Last Stored Data: 01-APR-70. KNAYEE 01293 776747 ext 389,E11Z65160
1012424134480,1012424134480 - K11A004213,21/10/2024,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is TCP/IP using IP address / Socket Port 192.168.8.9:27153. Last Stored Data: 14-OCT-24. SSIL NHH Contact: Nathan Chan,K11A004213
1012424137700,1012424137700 - K14A009189,21/08/2024,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is TCP/IP using IP address / Socket Port 192.168.8.9:32545. Last Stored Data: 17-AUG-24. SSIL NHH Contact: Ivan Topic,K14A009189
1012427323892,1012427323892 - 218479168,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07917339351. Last Stored Data: 28-MAY-24. SSIL NHH Contact: Ivan Topic,218479168
1012428880537,1012428880537 - 211178792,09/02/2022,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07803872045. Last Stored Data: 01-APR-70. KNAYEE 01293 776747 ext 389,211178792
1012430746752,1012430746752 - E12Z056826,03/08/2024,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07720023665. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ben Brant,E12Z056826
1012431425718,1012431425718 - 217377956,12/10/2024,"COMMS FAULT: Failed to collect data from meter, please raise with ASL if required Comms Mode UDP using IP address / Socket Port 192.168.8.13:47384. Last stored data 15/03/2022. SSIL NHH Contact: Nicole Barnes",217377956
1012431937237,1012431937237 - E16ML08628,17/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is GPRS using Telephone 07624163533 and SMS 44745257855533. Last Stored Data: 11-JUN-24. SSIL NHH Contact: Ivan Topic,E16ML08628
1012433468341,1012433468341 - E10BG63757,03/10/2024,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07713417966. Last Stored Data: 01-APR-70. SSIL NHH Contact: Samuel Dickinson,E10BG63757
1012434798898,1012434798898 - E19BG08302,15/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is UDP using Telephone and SMS . Last Stored Data: 11-JUN-24. SSIL NHH Contact: Keiley Davis,E19BG08302
1012435321223,1012435321223 - E08BG05399,03/07/2024,COMMS FAULT: GSM Comms is out of service. Comms Mode Outbound using Telephone 07833441065. Last Stored Data 29/06/2024. SSIL NHH Contact: Ben Brant,E08BG05399
1012438167246,1012438167246 - 39182635,26/02/2024,"CLOCK FAULT: Meter clock set to 2002, please reset Current Comms Mode is Outbound using Telephone 07741397673. Last Stored Data 23/02/2024. SSIL NHH Contact: Keiley Davis",39182635
1012438427377,1012438427377 - E12Z040466,04/04/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07803666754. Last Stored Data: 31-MAR-24. NCHAN 01293 776747 ext,E12Z040466
1012439874531,1012439874531 - E11Z97963,09/02/2022,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07808324164. Last Stored Data: 01-APR-70. KNAYEE 01293 776747 ext 389,E11Z97963
1012446453451,1012446453451 - 217211275,22/10/2024,Please fix COMMS Site contact Martin Selby Lowndes 07900 138859,217211275
1012446453683,1012446453683 - 217213875,22/10/2024,Please fix comms Site contact Martin Selby Lowndes 07900 138859,217213875
1012446539240,1012446539240 - 211191437,09/02/2022,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07409562460. Last Stored Data: 01-APR-70. KNAYEE 01293 776747 ext 389,211191437
1012448165803,1012448165803 - E11Z14979,06/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07715097993. Last Stored Data: 01-APR-70. SSIL NHH Contact: Cecilia Li Kam Tin,E11Z14979
1012448166036,1012448166036 - E11Z15572,01/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07715084429. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z15572
1012449743376,1012449743376 - E20ML05607,12/10/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07418403099. Last stored data 08/10/2024. SSIL NHH Contact: Nicole Barnes,E20ML05607
1012453030996,1012453030996 - E07BG34188,07/09/2024,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07827272858. Last Stored Data: 03-SEP-24. SSIL NHH Contact: Ivan Topic,E07BG34188
1012453031689,1012453031689 - E07BG34187,10/09/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07827272857. Last stored data 01/07/2021. SSIL NHH Contact: Jane Lewis,E07BG34187
1012453035131,1012453035131 - E07BG34189,07/09/2024,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07827272859. Last Stored Data: 03-SEP-24. SSIL NHH Contact: Ivan Topic,E07BG34189
1012453050088,1012453050088 - E07BG34182,07/09/2024,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07827272852. Last Stored Data: 03-SEP-24. SSIL NHH Contact: Ivan Topic,E07BG34182
1012453177271,1012453177271 - E07BG34345,12/10/2024,COMMS FAULT: GSM Comms is out of service. Comms Mode Outbound using Telephone 07827273015. Last stored data 08/10/2024. SSIL NHH Contact: Nicole Barnes,E07BG34345
1012453388188,1012453388188 - E15Z003543,29/02/2024,"ACT-139389 Dial Failure Please investigate dial failure on comms no 07715025165 which goes to recorded message. Thanks, GC.",E15Z003543
1012453393709,1012453393709 - E10BG18244,25/10/2024,COMMS FAULT: GSM Comms is switched off. Comms Mode Outbound using Telephone 07556832225. Last stored data 08/10/2024. SSIL NHH Contact: Samuel Dickinson,E10BG18244
1012454977023,1012454977023 - E14Z012424,23/10/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07712757144. Last stored data 08/10/2024. SSIL NHH Contact: Samuel Dickinson,E14Z012424
1012457311755,1012457311755 - 209452115,11/05/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07738960647. Last Stored Data 07/05/2024. SSIL NHH Contact: Joe Casebow,209452115
1012457506562,1012457506562 - E14UP03215,02/02/2024,COMMS FAULT: GSM Comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07624211787. Last Stored Data 29/01/2024. SSIL NHH Contact: Nicole Barnes,E14UP03215
1012457583380,1012457583380 - E14Z039851,23/10/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07711510399. Last stored data 08/10/2024. SSIL NHH Contact: Samuel Dickinson,E14Z039851
1012457760483,1012457760483 - E12Z042798,15/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07803643655. Last Stored Data: 01-APR-70. SSIL NHH Contact: Nathan Chan,E12Z042798
1012458314320,1012458314320 - E19ML04797,12/10/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07924261784. Last stored data 08/10/2024. SSIL NHH Contact: Nicole Barnes,E19ML04797
1012460554752,1012460554752 - K22W000009,17/10/2024,"ACT-241400 Dial Failure We are unable to retrieve data from meter K22W000009 due to a time out occuring after connection, please investigate and advise.",K22W000009
1012460655497,1012460655497 - E11Z65050,23/10/2024,COMMS FAULT: GSM Comms drops connection. Comms Mode Outbound using Telephone 07703939516. Last stored data 08/10/2024. SSIL NHH Contact: Samuel Dickinson,E11Z65050
1012460839958,1012460839958 - E10BG18238,14/10/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07556832212. Last stored data 08/10/2024. SSIL NHH Contact: Nicole Barnes,E10BG18238
1012462659020,1012462659020 - E12BG05652,17/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07624065309. Last Stored Data: 13-JUN-24. SSIL NHH Contact: Ivan Topic,E12BG05652
1012463682759,1012463682759 - E14UP04814,29/08/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode GPRS using Telephone 07457616953 and SMS 447457608314. Last stored data 07/02/2024. SSIL NHH Contact: Matthew Taylor,E14UP04814
1012464614713,1012464614713 - 217335320,07/10/2024,"COMMS FAULT: Failed to collect data from meter, please raise with ASL if required Comms Mode TCP/IP using IP address / Socket Port 172.22.60.232:9999. Last stored data 26/02/2023. SSIL NHH Contact: Samuel Dickinson",217335320
1012465118415,1012465118415 - E11Z68525,10/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07703938066. Last Stored Data: 01-APR-70. SSIL NHH Contact: Nathan Chan,E11Z68525
1012466630201,1012466630201 - E18ML17512,06/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is GPRS using Telephone 07924897825 and SMS 44792483813825. Last Stored Data: 26-JAN-24. SSIL NHH Contact: Keiley Davis,E18ML17512
1012467942128,1012467942128 - E11Z07841,21/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07714358862. Last Stored Data: 01-APR-70. SSIL NHH Contact: Ivan Topic,E11Z07841
1012467951327,1012467951327 - E12BG06542,10/06/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07409038745. Last Stored Data: 01-APR-70. SSIL NHH Contact: Nathan Chan,E12BG06542
1012468594637,1012468594637 - E19ML10405,03/10/2024,COMMS FAULT - Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07924011490. Last Stored Data: 01-APR-70. SSIL NHH Contact: Samuel Dickinson,E19ML10405
1012468595091,1012468595091 - E11Z07523,09/07/2024,COMMS FAULT: Unable to connect to meter and collect data. Please investigate. Current Comms Mode is Outbound using Telephone 07714375589. Last Stored Data: 01-APR-70. SSIL NHH Contact: Cecilia Li Kam Tin,E11Z07523
1012469602721,1012469602721 - E13Z054118,30/10/2023,MTD FAULT: Meter ID mismatch. D0313 shows OS 213340186. Comms number dials 213340088 Current Comms Mode is Outbound using Telephone 07711453505. Last Stored Data 15/05/2023. SSIL NHH Contact: Matthew Taylor,E13Z054118
1012470221426,1012470221426 - E13Z050465,07/06/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07740601239. Last Stored Data 03/06/2024. SSIL NHH Contact: Matthew Taylor,E13Z050465
